Surface density of photocatalyst;Steady-state PCO rate
mg cm-2;mmol min-1
0;0
0.593406593;0.181
0.615384615;0.19
0.802197802;0.22
1.087912088;0.24
1.912087912;0.269138056
2.153846154;0.276555156
2.758241758;0.26910387
2.527472527;0.273608575
4.967032967;0.262217362
