Wavenumber;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time;Time
cm-1;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min;min
-;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;10;10.5;11;11.5;12;12.5;13;13.5;14;14.5;15;15.5;16;16.5;17;17.5;18;18.5;19;19.5;20;20.5;21;21.5;22;22.5;23;23.5;24;24.5;25;25.5;26;26.5;27;27.5;28;28.5;29;29.5;30;30.5;31;31.5;32;32.5;33;33.5;34;34.5;35;35.5;36;36.5;37;37.5;38;38.5;39;39.5;40
1003,6;0,00570515;0,00755351;0,00540447;0,00677429;0,00553191;0,00477745;0,00449134;0,00541571;0,0051689;0,00669237;0,00601592;0,00520766;0,00751263;0,00842223;0,00801896;0,00164899;0,00193774;0,00570777;0,00767677;0,00865613;0,00395228;0,00300709;0,00504038;0,00626716;0,0055728;0,00301707;0,00427458;0,00537611;0,00557743;0,00200679;3,8864E-4;0,00126656;0,00297507;0,00439061;0,00568579;0,00496388;0,00351835;0,00404824;0,00447913;0,00329665;0,00483713;0,00564982;0,00668787;0,00710604;0,00696545;0,00510847;0,00326114;0,00522568;0,0052947;0,00438896;0,0041442;0,00573053;0,00686105;0,00503634;0,00323857;0,00436735;0,00462452;0,00397209;0,00491963;0,00672454;0,00653555;0,00235355;0,00266591;0,0034049;0,0023944;0,00378118;0,00527418;0,00206955;0,0027206;0,00628582;0,00490983
1004,1;0,00604639;0,00993058;0,00611742;0,00555237;0,00500036;0,00479876;0,00581542;0,00477715;0,00454632;0,00585938;0,00520147;0,00489246;0,0089847;0,00842944;0,00626415;0,00170542;0,00257077;0,00577858;0,00580917;0,00556716;0,00273336;0,00232623;0,00479487;0,00584574;0,00468438;0,002944;0,00410635;0,00458445;0,00406248;0,00346878;7,60132E-4;0,00258885;0,00423748;0,00547719;0,00689674;0,00609044;0,00603735;0,0066271;0,00645595;0,00385473;0,00704186;0,00642409;0,00506714;0,00438774;0,00624176;0,0054399;0,00286682;0,00406104;0,0062152;0,00622544;0,00473177;0,00610818;0,00730757;0,00516326;0,00156766;0,00209849;0,00373951;0,00434753;0,00563948;0,00675356;0,00791832;0,00378311;0,00358025;0,00407111;0,00102383;0,00446692;0,00624075;0,00186034;0,00323515;0,00626462;0,00417325
1004,6;0,00444829;0,00850353;0,00433922;0,00269421;0,00408317;0,00440992;0,0062669;0,00503642;0,00496752;0,00371454;0,0030814;0,00278045;0,00506645;0,00508644;0,0030477;0,00186736;0,00340455;0,00431808;0,00352595;0,00329531;0,00193976;9,15421E-4;0,00119898;0,00127134;0,00135444;0,00200704;0,00303184;0,00311556;6,42268E-4;0,00124889;0,00186055;0,00254029;0,00441212;0,00570802;0,00496746;0,00397374;0,00388136;0,00439578;0,00379517;0,00254684;0,00516917;0,00368704;0,00204293;0,0023311;0,00596089;0,00482611;0,0010894;0,00180315;0,00413428;0,00472631;0,00386741;0,00498142;0,00332169;0,00166229;0;2,32535E-4;0,00193899;0,00240298;0,00389982;0,00403672;0,003744;0,00160522;0,00179971;0,00294772;5,50666E-4;0,00453685;0,00547283;0,00113763;8,06443E-4;0,00148132;0
1005,1;0,00108968;0,00305957;0,00225549;5,39509E-4;6,24774E-4;0,00101073;0,0026884;0,0020788;0,00157562;0;5,87946E-4;5,50547E-4;0;7,19873E-4;0,00155708;0,00183723;0,00147476;0;0;0;0;0;0;0;0;0;3,75208E-4;6,2604E-4;0;0;0;0;4,39055E-4;6,98105E-4;0;0;0;0;0;0;0;0;0;0,00131292;0,00308188;0,00187277;0;7,67408E-4;0,00234294;0,00180203;4,51647E-4;0,00212264;0;0;0;0;0;5,36998E-4;0,00172023;0,00112521;0;0;0;8,80468E-4;0;0,00199259;0,00284426;0;0;0;0
1005,5;0;0,00125066;0,00159493;6,13767E-4;0;0;0;0;0;0;6,91148E-4;0;0;0;3,50365E-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,21E-5;0;0;0;8,92662E-4;1,4535E-4;0;0;4,03E-5;0,00129061;8,36897E-4;0;0;0;0;0;0;0;5,73956E-4;1,43154E-4;7,34687E-4;0;0;4,39956E-4;0,00212981;0;6,80408E-4;0;0;0;0;0
1006;8,91689E-4;0,00309636;0,00286623;0,00267495;0,00107008;8,59282E-4;0,00217359;0;4,29595E-4;0,00312302;0,00220066;0,00114375;0,00128386;5,00919E-4;1,87662E-4;0,00115185;0;0;0;0;0;4,25E-5;5,9834E-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00103179;0,00107833;0;0;1,87451E-4;6,52727E-4;6,56554E-4;0;6,8798E-4;7,72791E-4;0;0,00181226;0,0017786;5,13959E-4;5,41752E-4;0;0;0;0,00121039;6,86528E-4;0;5,45E-5;0,00100903;9,6092E-4;0,00356501;0,00343712;0,00142772;0,00220729;0;0;0;0;0
1006,5;0,00229447;0,00425372;0,00443091;0,00334574;0,00207396;0,00262299;0,00411505;0;4,16363E-4;0,00486191;0,00380262;0,00451743;0,00464452;0,00168125;0;0,00316236;0,00136604;0,00123036;0,00115878;0;0;0,00197882;0,00107903;1,40986E-4;0;0;0;0;0;0,00113677;0;0;7,02583E-4;5,66569E-4;0;0;0;8,33686E-4;0,00139678;0;0;0,00100661;0,00150385;9,85026E-4;0,00113181;0,00128856;0,0032523;0,00267189;7,76E-5;5,97606E-4;0,00172353;0,00254605;0,00210442;0;0;0;0,0019583;0,00105146;0;0;0;1,14984E-4;0,00150916;0,00160709;0,00164788;0,00243417;6,57E-5;0;9,49625E-4;2,45739E-4;0
1007;0,00312124;0,00309542;0,00263065;0,00227404;0,0033996;0,00352751;0,00203066;0;0;0,00301522;0,00294464;0,00453112;0,0055773;0,00103994;0;0,00118081;3,13165E-4;0,00174459;0,00260242;9,37053E-4;0,00125907;0,00104533;0;0;2,37602E-4;3,45504E-4;9,06792E-4;6,99818E-4;6,38558E-4;0,00138824;0,00141279;0;5,97018E-4;0,0023168;1,98946E-4;0;2,0178E-4;0,00168763;0,00166148;0;0;7,71864E-4;0,0017679;0,00191789;0;0;0,00158092;0,00199264;1,61732E-4;0;0,00101873;0,00149355;6,83204E-4;0;9,80962E-4;0,00146071;0,0011408;0;0;0;0;0;0;0,00163852;1,07293E-4;0,00169411;8,5669E-4;1,36365E-4;0,00118579;0;0
1007,5;0,00426839;0,00215294;9,65E-5;0,00166687;0,00418689;0,00411324;6,9011E-4;0;0,00153035;0,00187721;0,00138737;0,00194113;0,00456496;0,00248749;0;3,94698E-4;0,00115406;0,00124467;0,00163028;0,00178312;0,00107179;0;0;8,47395E-4;5,57306E-4;7,85926E-4;0,00346274;0,00337756;4,87214E-4;0;2,68361E-4;0;0;0,00210425;0,00131554;0,00262133;0,00209152;0,00162999;0,0015613;8,39552E-4;0,00175552;0;7,47495E-4;0,00303802;0;0;0;0;0;0;0,00270006;6,83739E-4;7,2896E-4;7,02993E-4;0,00222328;0,00222551;0,00136458;0;0;0;0;0;0;0,00227314;0;0,0012774;9,3104E-4;0,00117672;8,5877E-4;0,00177932;1,77745E-4
1008;0,00573619;0,00451712;9,3477E-4;0,00207344;0,00436381;0,00395751;1,74401E-4;8,45106E-4;0,00284585;0,00375651;0,0024425;0,00157729;0,00283071;0,00397551;0,00104419;4,51457E-4;0,00250461;0,00222821;0;9,37149E-4;4,26324E-4;0;4,06718E-4;0,00340823;9,00863E-4;0,00102831;0,0036703;0,00408413;2,77386E-4;0;0;0,00102973;5,85626E-4;2,46997E-4;0,00280588;0,00534078;0,00381337;0,00243458;0,00193956;0,00205491;0,00401127;0,00120862;0,00146226;0,00339634;0,00193564;0,00197275;0,00100454;0,00147917;0;1,67955E-4;0,00226854;9,75979E-4;0,00189208;0,00179181;0,00192943;0,00360706;0,00298155;0,00197295;0,002478;9,67491E-4;3,62E-5;0;0;5,11355E-4;0;0,00124243;3,76571E-4;8,17888E-4;2,26667E-4;0,00327934;0,00232899
